Ref Des,Mid X (mm),Mid Y (mm),Rotation,Comment,Package
ANT1,44.68,27.66,0,2450AT18B100E,2450AT18B100E_ANTC3216X140N
C1,34.93,24.32,180,12pF,NORDIC_NRF_3_RESC0201_L
C1-EP-DR,32.78,7.81,0,10uF,NORDIC_NRF_3_RESC0402_L
C10,33.11,25.21,90,N.C.,NORDIC_NRF_3_RESC0201_L
C11,36.53,25.36,90,100pF,NORDIC_NRF_3_RESC0201_L
C12,32.91,22.56,0,100nF,NORDIC_NRF_3_RESC0201_L
C13,30.83,22.55,0,N.C.,NORDIC_NRF_3_RESC0201_L
C14,24.59,21.82,0,4.7µF,NORDIC_NRF_3_RESC0402_L
C15,31.53,24.73,90,1.0µF,NORDIC_NRF_3_RESC0402_L
C16,32.35,25.18,90,47nF,NORDIC_NRF_3_RESC0201_L
C17,28.38,24.65,270,12pF,NORDIC_NRF_3_RESC0201_L
C18,28.53,26.51,90,12pF,NORDIC_NRF_3_RESC0201_L
C19,20.17,10.86,0,100nF,NORDIC_NRF_3_RESC0201_L
C2,34.21,21.5,90,12pF,NORDIC_NRF_3_RESC0201_L
C2-EP-DR,3.56,5.82,180,4.7uF/25V,NORDIC_NRF_3_RESC0402_L
C20,26.15,13.61,0,4.7µF,NORDIC_NRF_3_RESC0402_L
C21,26.14,12.67,180,4.7µF,NORDIC_NRF_3_RESC0402_L
C22,41.53,27.92,90,N.C.,NORDIC_NRF_3_RESC0201_L
C23,17.25,27.13,90,0.1uF,GRM011R60J152KE01L_1_0201
C24,16.52,27.85,0,10uF,NORDIC_NRF_3_RESC0402_L
C25,25.11,26.4,270,22uF,NORDIC_NRF_3_RESC0402_L
C27,17.69,23.75,0,0.1uF,GRM011R60J152KE01L_1_0201
C29,10.52,5.84,90,1uF,GRM011R60J152KE01L_1_0201
C3,39.79,27.94,90,1pF,NORDIC_NRF_3_RESC0201_L
C30,32.46,6.32,90,1uF,GRM011R60J152KE01L_1_0201
C31,21.71,5.46,90,1uF,GRM011R60J152KE01L_1_0201
C32,4.77,33.3,180,1uF,GRM011R60J152KE01L_1_0201
